zip_code,facility_id,program_type,facility_status,facility_name,city,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude
10001,837597,SACC,Registration,I Have a Dream Foundation,New York,Manhattan 2,0,0,0,84,0,84,40.748836,-73.99981
10001,661697,GFDC,License,Chelsea Little Angels Day Care,New York,Manhattan 2,0,0,0,4,12,16,40.748911,-74.001546
10001,837329,SACC,Registration,Bright Horizons at Hudson Yards,New York,Manhattan 2,0,0,0,17,0,17,40.752093,-74.002588
10001,350076,FDC,Registration,GRAMMAS HANDS,New York,Manhattan 2,0,0,0,2,6,8,40.748296,-74.001263
10001,292419,SACC,Registration,The Hudson Guild @26th Street,New York,Manhattan 2,0,0,0,79,0,79,40.749247,-74.001598
10001,229433,SACC,Registration,YMCA of Greater NY @Virtual Y PS 33,New York,Manhattan 2,0,0,0,88,0,88,40.748836,-73.99981
10001,827488,FDC,Registration,"Davis, Milinaire",New York,Manhattan 2,0,0,0,2,6,8,40.747845,-73.989419
10001,912862,SACC,Registration,Bright Horizons Children's Centers LLC,New York,Manhattan 2,0,0,0,17,0,17,40.755382,-73.99933
10001,893683,SACC,Registration,Good Shepherd Services,Bronx,Bronx 11,0,0,0,292,0,292,40.874106,-73.833117
10002,73477,SACC,Registration,University Settlement Society of New York,New York,Manhattan 1,0,0,0,41,0,41,40.720388,-73.990992
10002,120981,SACC,Registration,Henry Street Settlement ASP @PS 20,New York,Manhattan 1,0,0,0,306,0,306,40.72131,-73.986567
10002,73557,SACC,Registration,The Chinese Methodist Center Corp.,New York,Manhattan 2,0,0,0,141,0,141,40.712202,-73.996677
10002,694855,SACC,Registration,"VICTORIA CHILDREN'S CENTER, INC.",New York,Manhattan 2,0,0,0,36,0,36,40.717059,-73.990634
10002,338029,GFDC,License,"Serrano, Luz",New York,Manhattan 1,0,0,0,2,12,14,40.711922,-73.986388
10002,247404,FDC,Registration,"Turner, Dana",New York,Manhattan 2,0,0,0,2,6,8,40.710371,-73.98999
10002,73521,SACC,Registration,YMCA of Greater NY @Chinatown SACC IS 131,New York,Manhattan 2,0,0,0,172,0,172,40.716446,-73.993532
10002,742500,SACC,Registration,Grand Street Settlement SONYC @ Nest & M,New York,Manhattan 1,0,0,0,235,0,235,40.719132,-73.979369
10002,51722,FDC,Registration,"Mitchell-Mclaurin, Janice",New York,Manhattan 2,0,0,0,0,6,6,40.712107,-73.992011
10002,73617,SACC,Registration,CPC-CHINESE CULTURAL PROG. - P.S. 124,New York,Manhattan 2,0,0,0,75,0,75,40.714323,-73.995529
10002,209013,FDC,Registration,"Bisono, Daisy",New York,Manhattan 2,0,0,0,2,6,8,40.71162,-73.989382
10002,74169,SACC,Registration,Henry Street Settlement @PS 134,New York,Manhattan 1,0,0,0,198,0,198,40.714515,-73.983172
10002,64098,FDC,Registration,"Estevez, Norma",New York,Manhattan 2,0,0,0,2,5,7,40.712323,-73.989475
10002,661102,GFDC,License,Crowns & Tiaras Family Day Care,New York,Manhattan 1,0,0,0,4,12,16,40.716809,-73.985242
10002,73420,SACC,Registration,CHUNG PAK/CHRYSTIE ST SA DCC,New York,Manhattan 1,0,0,0,114,0,114,40.718631,-73.993771
10002,64035,FDC,Registration,"Rivera, Jennie",New York,Manhattan 1,0,0,0,2,6,8,40.717675,-73.982399
10002,840218,FDC,Registration,"Wang, Mei",New York,Manhattan 2,0,0,0,2,6,8,40.710808,-73.994435
10002,249795,FDC,Registration,"Munoz, Rosa",New York,Manhattan 1,0,0,0,2,6,8,40.712201,-73.983522
10002,820372,SACC,Registration,Grand Street Settlement @ Rutgers Community Center,New York,Manhattan 2,0,0,0,110,0,110,40.712331,-73.990589
10002,793907,GFDC,License,"Mccloud, Mekeisha",New York,Manhattan 2,0,0,0,4,12,16,40.71162,-73.989382
10002,782860,FDC,Registration,"Serrano, Betty",New York,Manhattan 1,0,0,0,2,6,8,40.718949,-73.981744
10002,218172,SACC,Registration,Grand Street Settlement @Beacon JHS 25,New York,Manhattan 1,0,0,0,217,0,217,40.720527,-73.985777
10002,101512,SACC,Registration,THE EDUCATIONAL ALLIANCE @PS 142,New York,Manhattan 1,0,0,0,188,0,188,40.718498,-73.984215
10002,744771,SACC,Registration,Grand Street Settlement@Baruch Community Center,New York,Manhattan 1,0,0,0,40,0,40,40.718193,-73.97541
10002,835652,FDC,Registration,"Vargas De Sanchez, Angela",New York,Manhattan 1,0,0,0,2,6,8,40.717367,-73.988462
10002,849400,SACC,Registration,"Immigrant Social Services, Inc",New York,Manhattan 2,0,0,0,60,0,60,40.714323,-73.995529
10002,744762,SACC,Registration,"Grand Street Settlement, Inc.",New York,Manhattan 1,0,0,0,41,0,41,40.716882,-73.988856
10002,747475,GFDC,License,Little Charmers Family Day Care,New York,Manhattan 2,0,0,0,0,12,12,40.712107,-73.992011
10002,768543,FDC,Registration,"White, Shaughn",New York,Manhattan 1,0,0,0,2,6,8,40.71171,-73.981341
10002,800085,FDC,Registration,"Samuels, Viola",New York,Manhattan 2,0,0,0,2,6,8,40.712107,-73.992011
10002,329041,SACC,Registration,"A Place for Kids, Inc.",New York,Manhattan 2,0,0,18,93,0,111,40.713158,-73.991349
10002,233257,SACC,Registration,Grand Street Settlement @80 Pitt St.,New York,Manhattan 1,0,0,0,107,0,107,40.71816,-73.981774
10002,151021,FDC,Registration,"Vasquez, Nancy",New York,Manhattan 1,0,0,0,2,6,8,40.716635,-73.980113
10002,73423,SACC,Registration,Immigrant Social Services @P.S. 42,New York,Manhattan 2,0,0,0,200,0,200,40.715975,-73.990879
10002,339200,SACC,Registration,The Educational Alliance @PS 140 After 3 Program,New York,Manhattan 1,0,0,0,285,0,285,40.71912,-73.983281
10002,73562,SACC,Registration,"Chinese-American Planning Council, Inc.",New York,Manhattan 2,0,0,0,160,0,160,40.713158,-73.991349
10002,444459,GFDC,License,"Wong, Lai King",New York,Manhattan 1,0,0,0,4,12,16,40.719139,-73.98712
10002,368916,FDC,Pending Revocation,"Lam, Sau",New York,Manhattan 1,0,0,0,0,5,5,40.711922,-73.986388
10002,773173,GFDC,License,"Liu, Rudong",New York,Manhattan 2,0,0,0,4,12,16,40.711309,-73.995813
10002,709524,SACC,Registration,Henry Street Settlement @ Castle MS,New York,Manhattan 1,0,0,0,114,0,114,40.713595,-73.986308
10002,73476,SACC,Registration,University Settlement Society of New York,New York,Manhattan 1,0,0,0,61,0,61,40.720559,-73.990614
10002,846764,FDC,Registration,Amazing Green,New York,Manhattan 1,0,0,0,2,6,8,,
10002,266531,SACC,Registration,University Settlement Society of NY @PS 134,New York,Manhattan 1,0,0,0,221,0,221,40.714515,-73.983172
10002,327747,GFDC,License,"Santos, Jacqueline",New York,Manhattan 1,0,0,0,2,12,14,40.716809,-73.985242
10002,673663,SACC,Registration,The Educational Alliance @ PS 188,New York,Manhattan 1,0,0,0,242,0,242,40.719618,-73.977504
10002,713043,SACC,Registration,After 3 @ M.S. 539,New York,Manhattan 1,0,0,0,260,0,260,40.719132,-73.979369
10002,396891,SACC,Registration,Young Men's Christian Association of Greater New York @ Two Bridges Cornerstone,New York,Manhattan 1,0,0,0,47,0,47,40.710634,-73.986425
10002,64214,FDC,Registration,"Torres, Emelia",New York,Manhattan 1,0,0,0,2,6,8,40.718079,-73.979263
10002,64053,FDC,Registration,"Heredia, Francisca",New York,Manhattan 1,0,0,0,2,6,8,40.718973,-73.992404
10002,73422,SACC,Registration,IMMIGRANT SOCIAL SERVICE @PS 2,New York,Manhattan 2,0,0,0,77,0,77,40.713158,-73.991349
10002,73559,SACC,Registration,CPC. CONFUCIUS PLAZA DAY CARE - P.S.124,New York,Manhattan 2,0,0,0,202,0,202,40.714323,-73.995529
10002,616797,GFDC,License,"Lam, Pik Shan",New York,Manhattan 2,0,0,0,4,12,16,40.71095,-73.995769
10002,820539,SACC,Registration,Henry Street Settlement,New York,Manhattan 1,0,0,0,159,0,159,40.715431,-73.979686
10002,908644,SACC,Registration,Henry Street Settlement,New York,Manhattan 1,0,0,0,140,0,140,40.71149,-73.985849
10002,918787,GFDC,License,"Konate, Mariam",New York,Manhattan 1,0,0,0,2,8,10,40.712583,-73.986488
10002,903962,FDC,Registration,"Almanzar, Angela",New York,Manhattan 1,0,0,0,2,5,7,40.711833,-73.981749
10002,908690,SACC,Registration,Henry Street Settlement,New York,Manhattan 1,0,0,0,110,0,110,40.719618,-73.977504
10003,709548,SACC,Registration,"Manhattan Youth Recreation and Resources, Inc.",New York,Manhattan 2,0,0,0,217,0,217,40.735174,-73.981729
10003,72820,SACC,Registration,THE EDUCATIONAL ALLIANCE @The New 14th St. Y ASP,New York,Manhattan 2,0,0,0,191,0,191,40.731502,-73.983296
10003,260286,SACC,Registration,Roads To Success @Ballet Tech M442,New York,Manhattan 2,0,0,0,57,0,57,40.738621,-73.989766
10003,741997,SACC,Registration,"Manhattan Youth Recreation and Resources, Inc. @ Clinton M 260",New York,Manhattan 2,0,0,0,483,0,483,40.736332,-73.992653
10003,741987,SACC,Registration,"Manhattan Youth Recreation and Resources, Inc.",New York,Manhattan 2,0,0,0,457,0,457,40.73584,-73.980412
10003,709555,SACC,Registration,"University Settlement Society of NY, Inc. @ MS 407 (ICE)",New York,Manhattan 2,0,0,0,111,0,111,40.732424,-73.982633
10003,906583,SACC,Registration,"DZ Arts Development, Inc.",New York,Manhattan 2,0,0,0,479,0,479,40.735563,-73.981556
10004,73620,SACC,Registration,Children First/ Bright Horizons @125 Broad St.,New York,Manhattan 2,0,0,0,13,0,13,40.702266,-74.01089
10004,741995,SACC,Registration,"Manhattan Youth Recreation and Resources, Inc.",New York,Manhattan 2,0,0,0,250,0,250,40.705791,-74.013095
10005,397219,SACC,Registration,Bright Horizons Children's Center @20 Pine,New York,Manhattan 2,0,0,0,39,0,39,40.70756,-74.009867
